thread_subject,username,page_name
 Link to user namespace ,Legoktm,WikidataBotrequestsArchive201303.json
 Query for get local langlinks ,Reza1615,WikidataBotrequestsArchive201303.json
 Query for get local langlinks ,Legoktm,WikidataBotrequestsArchive201303.json
 Query for get local langlinks ,Akkakk,WikidataBotrequestsArchive201303.json
 Query for get local langlinks ,ValterVB,WikidataBotrequestsArchive201303.json
 Emptied an item ,Delusion23,WikidataBotrequestsArchive201303.json
 Emptied an item ,Ymblanter,WikidataBotrequestsArchive201303.json
 Emptied an item ,Legoktm,WikidataBotrequestsArchive201303.json
 Categories type ,EugeneZelenko,WikidataBotrequestsArchive201303.json
 Categories type ,Sk!d,WikidataBotrequestsArchive201303.json
 Categories type ,Legoktm,WikidataBotrequestsArchive201303.json
 Importing main articles in categories ,EugeneZelenko,WikidataBotrequestsArchive201303.json
 Importing main articles in categories ,Legoktm,WikidataBotrequestsArchive201303.json
 Northern Sami Wikipedia ,Jeblad,WikidataBotrequestsArchive201303.json
 Farsi Labels ,Reza1615,WikidataBotrequestsArchive201303.json
 Farsi Labels ,Akkakk,WikidataBotrequestsArchive201303.json
 Typo in Norwegian municipalities ,Jon Harald Søby,WikidataBotrequestsArchive201303.json
 Typo in Norwegian municipalities ,Ricordisamoa,WikidataBotrequestsArchive201303.json
 Typo in Norwegian municipalities ,Sk!d,WikidataBotrequestsArchive201303.json
 Italian comune ,Delusion23,WikidataBotrequestsArchive201303.json
 Italian comune ,ValterVB,WikidataBotrequestsArchive201303.json
 Italian comune ,Legoktm,WikidataBotrequestsArchive201303.json
 Italian comune ,Sk!d,WikidataBotrequestsArchive201303.json
 Weeding out redirects ,Naddy,WikidataBotrequestsArchive201303.json
 Weeding out redirects ,Hazard-SJ,WikidataBotrequestsArchive201303.json
 Preceded/followed by for year related articles ,EugeneZelenko,WikidataBotrequestsArchive201303.json
 Adding statement chemical compound ,Snipre,WikidataBotrequestsArchive201303.json
 Adding statement chemical compound ,Akkakk,WikidataBotrequestsArchive201303.json
 Adding statement chemical compound ,Bene*,WikidataBotrequestsArchive201303.json
Problem,Emw,WikidataBotrequestsArchive201303.json
Problem,Bene*,WikidataBotrequestsArchive201303.json
Problem,Snipre,WikidataBotrequestsArchive201303.json
 Bot to fill in language variants ,Faux,WikidataBotrequestsArchive201303.json
 Bot to fill in language variants ,Sk!d,WikidataBotrequestsArchive201303.json
 Bot to fill in language variants ,Hazard-SJ,WikidataBotrequestsArchive201303.json
 Bot to fill in language variants ,Denny,WikidataBotrequestsArchive201303.json
 descriptions for disambiguations ,Akkakk,WikidataBotrequestsArchive201303.json
 descriptions for disambiguations ,Hazard-SJ,WikidataBotrequestsArchive201303.json
 descriptions for disambiguations ,Orlodrim,WikidataBotrequestsArchive201303.json
 descriptions for disambiguations ,Sk!d,WikidataBotrequestsArchive201303.json
 descriptions for disambiguations ,Docu,WikidataBotrequestsArchive201303.json
" ""Discovered by"" for asteroids ",Ysogo,WikidataBotrequestsArchive201304.json
" ""Discovered by"" for asteroids ",Legoktm,WikidataBotrequestsArchive201304.json
 Bot flag for EdinBot ,Edinwiki,WikidataBotrequestsArchive201304.json
 Bot flag for EdinBot ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 Bot flag for EdinBot ,Legoktm,WikidataBotrequestsArchive201304.json
 Asteroids in sequence ,Ysogo,WikidataBotrequestsArchive201304.json
 Asteroids in sequence ,Legoktm,WikidataBotrequestsArchive201304.json
 Extinct species due to IUCN ,Infovarius,WikidataBotrequestsArchive201304.json
 Extinct species due to IUCN ,Legoktm,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,ValterVB,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Nizil Shah,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Bene*,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Gabbe,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Ljubinka,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Rondador,WikidataBotrequestsArchive201304.json
 Gujarati Wikipedia : description adding ,Carsrac,WikidataBotrequestsArchive201304.json
 Create items for occupations ,Zolo,WikidataBotrequestsArchive201304.json
 Create items for occupations ,ValterVB,WikidataBotrequestsArchive201304.json
 Create items for occupations ,Kolja21,WikidataBotrequestsArchive201304.json
 Create items for occupations ,JAn Dudík,WikidataBotrequestsArchive201304.json
 Create items for occupations ,Legoktm,WikidataBotrequestsArchive201304.json
 Bot task request ,Sven Manguard,WikidataBotrequestsArchive201304.json
 Bot task request ,Legoktm,WikidataBotrequestsArchive201304.json
 Year and film to English description ,Gabbe,WikidataBotrequestsArchive201304.json
 Year and film to English description ,ValterVB,WikidataBotrequestsArchive201304.json
 Keeping last stable software version up to date ,Faux,WikidataBotrequestsArchive201304.json
 Keeping last stable software version up to date ,Bene*,WikidataBotrequestsArchive201304.json
 Keeping last stable software version up to date ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 Fill gaps in asteroid sequence ,Ysogo,WikidataBotrequestsArchive201304.json
 Fill gaps in asteroid sequence ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 descriptions for persons from persondata ,Akkakk,WikidataBotrequestsArchive201304.json
 descriptions for persons from persondata ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 descriptions for persons from persondata ,Scott5114,WikidataBotrequestsArchive201304.json
 descriptions for persons from persondata ,Docu,WikidataBotrequestsArchive201304.json
 descriptions for persons from persondata ,Hazard-SJ,WikidataBotrequestsArchive201304.json
 Botanist Author Abbreviations ,23PowerZ,WikidataBotrequestsArchive201304.json
 Botanist Author Abbreviations ,Legoktm,WikidataBotrequestsArchive201304.json
 Botanist Author Abbreviations ,Succu,WikidataBotrequestsArchive201304.json
 Botanist Author Abbreviations ,Bene*,WikidataBotrequestsArchive201304.json
 removing items which has langlink to redirects ,Hanira,WikidataBotrequestsArchive201304.json
 removing items which has langlink to redirects ,Emaus,WikidataBotrequestsArchive201304.json
 removing items which has langlink to redirects ,Yamaha5,WikidataBotrequestsArchive201304.json
 Import ISO 3166-2 (country subdivision codes) from WP ,Reosarevok,WikidataBotrequestsArchive201304.json
 Periods in descriptions ,FrigidNinja,WikidataBotrequestsArchive201304.json
 Periods in descriptions ,Hazard-SJ,WikidataBotrequestsArchive201304.json
 Periods in descriptions ,Carsrac,WikidataBotrequestsArchive201304.json
 Periods in descriptions ,Legoktm,WikidataBotrequestsArchive201304.json
 automatic labeling for highly ambiguous titles ,Pichpich,WikidataBotrequestsArchive201304.json
 automatic labeling for highly ambiguous titles ,Akkakk,WikidataBotrequestsArchive201304.json
 automatic labeling for highly ambiguous titles ,Docu,WikidataBotrequestsArchive201304.json
 [[Q4989245]] ,It Is Me Here,WikidataBotrequestsArchive201304.json
 Bot Idea ,Nizil Shah,WikidataBotrequestsArchive201304.json
 Bot Idea ,Sk!d,WikidataBotrequestsArchive201304.json
 Fixing Commons category property errors ,Pere prlpz,WikidataBotrequestsArchive201304.json
 Add IMDb identifier ,Gabbe,WikidataBotrequestsArchive201304.json
 Add IMDb identifier ,Ricordisamoa,WikidataBotrequestsArchive201304.json
 Add IMDb identifier ,Akkakk,WikidataBotrequestsArchive201304.json
 Add IMDb identifier ,Putnik,WikidataBotrequestsArchive201304.json
 Add IMDb identifier ,Docu,WikidataBotrequestsArchive201304.json
 USA ,J 1982,WikidataBotrequestsArchive201305.json
 USA ,Orlodrim,WikidataBotrequestsArchive201305.json
 Gujarati Wikipedia bulk description/statements adding ,Nizil Shah,WikidataBotrequestsArchive201305.json
 Gujarati Wikipedia bulk description/statements adding ,Bene*,WikidataBotrequestsArchive201305.json
 [[Q21]] on the [[Wikidata:Database_reports/Constraint_violations/P17#Values_statistics|P17 report]] ,Docu,WikidataBotrequestsArchive201305.json
 [[Q21]] on the [[Wikidata:Database_reports/Constraint_violations/P17#Values_statistics|P17 report]] ,Sk!d,WikidataBotrequestsArchive201305.json
 Request: please complete phase 1 first ,Romaine,WikidataBotrequestsArchive201305.json
 Request: please complete phase 1 first ,Sk!d,WikidataBotrequestsArchive201305.json
 Request: please complete phase 1 first ,Ricordisamoa,WikidataBotrequestsArchive201305.json
" Polish ""Italian comune"" descriptions ",Chrumps,WikidataBotrequestsArchive201305.json
" Polish ""Italian comune"" descriptions ",Ricordisamoa,WikidataBotrequestsArchive201305.json
" Polish ""Italian comune"" descriptions ",Sk!d,WikidataBotrequestsArchive201305.json
 Formatting issues LCCN ,Docu,WikidataBotrequestsArchive201305.json
 Formatting issues LCCN ,Ricordisamoa,WikidataBotrequestsArchive201305.json
 Simultaneous edits ([[Property:P21]] duplicates) ,Docu,WikidataBotrequestsArchive201305.json
 Simultaneous edits ([[Property:P21]] duplicates) ,Ricordisamoa,WikidataBotrequestsArchive201305.json
 Checking for missing sex statements ,23PowerZ,WikidataBotrequestsArchive201305.json
 Checking for missing sex statements ,Byrial,WikidataBotrequestsArchive201305.json
 Checking for missing sex statements ,Sk!d,WikidataBotrequestsArchive201305.json
 [[:File:Coats of arms of None.svg]] ,Docu,WikidataBotrequestsArchive201305.json
 [[:File:Coats of arms of None.svg]] ,Ricordisamoa,WikidataBotrequestsArchive201305.json
 Two Commons categories in the same element ,Akkakk,WikidataBotrequestsArchive201305.json
 Two Commons categories in the same element ,FallingGravity,WikidataBotrequestsArchive201305.json
 Two Commons categories in the same element ,Multichill,WikidataBotrequestsArchive201305.json
 Two Commons categories in the same element ,Sk!d,WikidataBotrequestsArchive201305.json
 Billionaires ,Danrok,WikidataBotrequestsArchive201305.json
 Billionaires ,23PowerZ,WikidataBotrequestsArchive201305.json
 Billionaires ,Emw,WikidataBotrequestsArchive201305.json
 Billionaires ,Sk!d,WikidataBotrequestsArchive201305.json
 Deleting talk pages which are empty or dependent on a non-existent or deleted page ,GZWDer,WikidataBotrequestsArchive201305.json
 Deleting talk pages which are empty or dependent on a non-existent or deleted page ,Sk!d,WikidataBotrequestsArchive201305.json
 P41 & P94 and sv:Template:Ortsfakta Sverige ,Lavallen,WikidataBotrequestsArchive201305.json
 Descriptions in different languages ,Byrial,WikidataBotrequestsArchive201305.json
 Descriptions in different languages ,Lavallen,WikidataBotrequestsArchive201305.json
 Labels and Descriptions taskforce ,Tbennert,WikidataBotrequestsArchive201305.json
 Labels and Descriptions taskforce ,ValterVB,WikidataBotrequestsArchive201305.json
 NYSE ,Danrok,WikidataBotrequestsArchive201305.json
 fixing labels for segments of large lists and TV series seasons ,Pichpich,WikidataBotrequestsArchive201305.json
 Bot idea ,Nizil Shah,WikidataBotrequestsArchive201305.json
 Bot idea ,Magnus Manske,WikidataBotrequestsArchive201305.json
 Bot idea ,Docu,WikidataBotrequestsArchive201305.json
 Collect hex codes from infobox color ,Tobias1984,WikidataBotrequestsArchive201305.json
 Collect hex codes from infobox color ,Ricordisamoa,WikidataBotrequestsArchive201305.json
 Aliases for counties in the USA ,Superm401,WikidataBotrequestsArchive201305.json
 Aliases for counties in the USA ,Pichpich,WikidataBotrequestsArchive201305.json
 Updating moved categories ,FallingGravity,WikidataBotrequestsArchive201305.json
 Birth/death dates from it.wikipedia ,Magnus Manske,WikidataBotrequestsArchive201305.json
 Birth/death dates from it.wikipedia ,Ricordisamoa,WikidataBotrequestsArchive201305.json
" Moving ""no"" labels to ""nb"" ",Soulkeeper,WikidataBotrequestsArchive201305.json
" Moving ""no"" labels to ""nb"" ",Hazard-SJ,WikidataBotrequestsArchive201305.json
" Moving ""no"" labels to ""nb"" ",Danmichaelo,WikidataBotrequestsArchive201305.json
 Need Help for making Merge Tool ,Yamaha5,WikidataBotrequestsArchive201305.json
 Need Help for making Merge Tool ,Ricordisamoa,WikidataBotrequestsArchive201305.json
 Need Help for making Merge Tool ,ValterVB,WikidataBotrequestsArchive201305.json
 label from link ,Akkakk,WikidataBotrequestsArchive201306.json
 label from link ,Ricordisamoa,WikidataBotrequestsArchive201306.json
 Somevalue in GND ID ,Delusion23,WikidataBotrequestsArchive201306.json
 Somevalue in GND ID ,Ricordisamoa,WikidataBotrequestsArchive201306.json
 GenPept ,Tobias1984,WikidataBotrequestsArchive201306.json
 Automatic addition of descriptions ,Snipre,WikidataBotrequestsArchive201306.json
 Automatic addition of descriptions ,Leyo,WikidataBotrequestsArchive201306.json
 Automatic addition of descriptions ,Thegreatgrabber,WikidataBotrequestsArchive201306.json
 Automatic addition of descriptions ,Kompakt,WikidataBotrequestsArchive201306.json
 [[Property:P132]] - replacement of values ,Monsieurbecker,WikidataBotrequestsArchive201306.json
 [[Property:P132]] - replacement of values ,Sk!d,WikidataBotrequestsArchive201306.json
 Fix Polish descriptions ,Zolo,WikidataBotrequestsArchive201306.json
 Fix Polish descriptions ,Ricordisamoa,WikidataBotrequestsArchive201306.json
 Fix Polish descriptions ,Byrial,WikidataBotrequestsArchive201306.json
 Fix Polish descriptions ,Sk!d,WikidataBotrequestsArchive201306.json
 '''en''': bot idea for family relationship — '''fr''': idée de bot pour les liens de parentés ,Pasleim,WikidataBotrequestsArchive201306.json
 '''en''': bot idea for family relationship — '''fr''': idée de bot pour les liens de parentés ,Sk!d,WikidataBotrequestsArchive201306.json
 One-time task: adding {{P|630}} to the streets of Paris ,Ayack,WikidataBotrequestsArchive201306.json
 One-time task: adding {{P|630}} to the streets of Paris ,Zolo,WikidataBotrequestsArchive201306.json
 de disambiguations without en label ,Akkakk,WikidataBotrequestsArchive201306.json
 ICD 9 & ICD 10 ,Tobias1984,WikidataBotrequestsArchive201307.json
 ICD 9 & ICD 10 ,Kompakt,WikidataBotrequestsArchive201307.json
 Merge multiple items ,Ivan A. Krestinin,WikidataBotrequestsArchive201307.json
 Merge multiple items ,Ricordisamoa,WikidataBotrequestsArchive201307.json
 List of disambiguation items that link to non-disambiguation pages ,Littledogboy,WikidataBotrequestsArchive201307.json
 List of disambiguation items that link to non-disambiguation pages ,Byrial,WikidataBotrequestsArchive201307.json
 List of disambiguation items that link to non-disambiguation pages ,Sk!d,WikidataBotrequestsArchive201307.json
 Bot to check for presence of disambiguation template ,Romaine,WikidataBotrequestsArchive201307.json
 Bot to check for presence of disambiguation template ,Sk!d,WikidataBotrequestsArchive201307.json
 Another merger request ,Feťour,WikidataBotrequestsArchive201307.json
 Another merger request ,Littledogboy,WikidataBotrequestsArchive201307.json
 Another merger request ,Ricordisamoa,WikidataBotrequestsArchive201307.json
 Another merger request ,Sk!d,WikidataBotrequestsArchive201307.json
 TV series seasons ,Pichpich,WikidataBotrequestsArchive201307.json
 TV series seasons ,Ricordisamoa,WikidataBotrequestsArchive201307.json
 TV series seasons ,Stryn,WikidataBotrequestsArchive201307.json
 Bot to check for local interwikis that link to redirect ,Romaine,WikidataBotrequestsArchive201307.json
 Add link to rowiki ,Luciandrei,WikidataBotrequestsArchive201307.json
 Add link to rowiki ,Ricordisamoa,WikidataBotrequestsArchive201307.json
 Requested to the bots ,Byrial,WikidataBotrequestsArchive201307.json
 Requested to the bots ,Дагиров Умар,WikidataBotrequestsArchive201307.json
 Requested to the bots ,Hazard-SJ,WikidataBotrequestsArchive201307.json
 Import infobox rock unit ,Tobias1984,WikidataBotrequestsArchive201307.json
 Add a self-link to sovereign states ,UV,WikidataBotrequestsArchive201307.json
 Add a self-link to sovereign states ,Zuphilip,WikidataBotrequestsArchive201307.json
 Fix value item in property ,Zolo,WikidataBotrequestsArchive201308.json
 Fix value item in property ,Sk!d,WikidataBotrequestsArchive201308.json
 cb on [[Wikidata:Database_reports/Constraint_violations/P268#.22Format.22_violations]] ,Docu,WikidataBotrequestsArchive201308.json
 cb on [[Wikidata:Database_reports/Constraint_violations/P268#.22Format.22_violations]] ,Laddo,WikidataBotrequestsArchive201308.json
 [[:commons:Template:On Wikidata]] ,JAn Dudík,WikidataBotrequestsArchive201308.json
 [[:commons:Template:On Wikidata]] ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 [[:commons:Template:On Wikidata]] ,Docu,WikidataBotrequestsArchive201308.json
 Taxon category merges ,Delusion23,WikidataBotrequestsArchive201308.json
 Taxon category merges ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 Move statements ,Zolo,WikidataBotrequestsArchive201308.json
 Move statements ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 Move statements ,Yair rand,WikidataBotrequestsArchive201308.json
 move values from one property to another ,UV,WikidataBotrequestsArchive201308.json
 Cleanup ,Ayack,WikidataBotrequestsArchive201308.json
 Cleanup ,Zuphilip,WikidataBotrequestsArchive201308.json
 Cleanup ,Thgoiter,WikidataBotrequestsArchive201308.json
 import identifiers for chemicals and drugs ,Nizil Shah,WikidataBotrequestsArchive201308.json
 import identifiers for chemicals and drugs ,Snipre,WikidataBotrequestsArchive201308.json
 Remove undifferentiated GND entries in [[Property:P227]] ,AndreasPraefcke,WikidataBotrequestsArchive201308.json
 [[Special:EntitiesWithoutLabel/en/item]] ,Docu,WikidataBotrequestsArchive201308.json
 [[Special:EntitiesWithoutLabel/en/item]] ,Hazard-SJ,WikidataBotrequestsArchive201308.json
 ISBN 13 format ,Docu,WikidataBotrequestsArchive201308.json
 '/doc' in template items ,Matěj Suchánek,WikidataBotrequestsArchive201308.json
 '/doc' in template items ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 '/doc' in template items ,Infovarius,WikidataBotrequestsArchive201308.json
 '/doc' in template items ,GZWDer,WikidataBotrequestsArchive201308.json
 Import of {{P|775}} ,Lavallen,WikidataBotrequestsArchive201308.json
 Labels from article titles ,Docu,WikidataBotrequestsArchive201308.json
 Labels from article titles ,Ljubinka,WikidataBotrequestsArchive201308.json
 Set country for Italian comuni and Norwegian municipalities ,Nikki,WikidataBotrequestsArchive201308.json
 Set country for Italian comuni and Norwegian municipalities ,Sk!d,WikidataBotrequestsArchive201308.json
 Set country for Italian comuni and Norwegian municipalities ,ValterVB,WikidataBotrequestsArchive201308.json
 Set country for Italian comuni and Norwegian municipalities ,Docu,WikidataBotrequestsArchive201308.json
 Import P31 & P176 from [[:en:Template:Infobox_automobile]] ,LucaBiondi,WikidataBotrequestsArchive201308.json
 RfC ,Tobias1984,WikidataBotrequestsArchive201308.json
 RfC ,Lavallen,WikidataBotrequestsArchive201308.json
 RfC ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 Automatic descriptions for items with same name ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 Links to disambiguations ,Docu,WikidataBotrequestsArchive201308.json
 Links to disambiguations ,Littledogboy,WikidataBotrequestsArchive201308.json
 Links to disambiguations ,Sk!d,WikidataBotrequestsArchive201308.json
 [[:en:Template:GNIS]] ,Docu,WikidataBotrequestsArchive201308.json
 [[:en:Template:GNIS]] ,Kam Solusar,WikidataBotrequestsArchive201308.json
 Geographical coordinates from the Catalan Wikipedia ,Micru,WikidataBotrequestsArchive201308.json
 ISBN ,Docu,WikidataBotrequestsArchive201308.json
 ISBN ,Miredcessy,WikidataBotrequestsArchive201308.json
 ISBN ,Micru,WikidataBotrequestsArchive201308.json
 ISBN ,Pasleim,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,FelixReimann,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Emw,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Docu,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Ricordisamoa,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Infovarius,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Succu,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Lydia Pintscher (WMDE),WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Izno,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Yair rand,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Pichpich,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,HenkvD,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Lavallen,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Kizar,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Zolo,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Closeapple,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Wylve,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Kolja21,WikidataBotrequestsArchive201308.json
 Remove obsolete ''{{P|143}}->Wikipedia''-based sources ,Multichill,WikidataBotrequestsArchive201308.json
 Mountain ranges in the Alps ,Thgoiter,WikidataBotrequestsArchive201309.json
 Mountain ranges in the Alps ,Pasleim,WikidataBotrequestsArchive201309.json
 Change instance of mountain -> to instance of mountain system ,Zolo,WikidataBotrequestsArchive201309.json
 Change instance of mountain -> to instance of mountain system ,Thgoiter,WikidataBotrequestsArchive201309.json
 Change instance of mountain -> to instance of mountain system ,Pasleim,WikidataBotrequestsArchive201309.json
 Bilateral relations ,Pikolas,WikidataBotrequestsArchive201309.json
 Bilateral relations ,Docu,WikidataBotrequestsArchive201309.json
 Unlabeled species ,Pikolas,WikidataBotrequestsArchive201309.json
 Unlabeled species ,Succu,WikidataBotrequestsArchive201309.json
 Globe problems with coordinates ,Docu,WikidataBotrequestsArchive201309.json
 Removing duplicate statement ,GZWDer,WikidataBotrequestsArchive201309.json
 Removing duplicate statement ,Ricordisamoa,WikidataBotrequestsArchive201309.json
" Revert unpatrolled ""new editor removing sitelink"" edits after some time ",YMS,WikidataBotrequestsArchive201309.json
" Revert unpatrolled ""new editor removing sitelink"" edits after some time ",Littledogboy,WikidataBotrequestsArchive201309.json
" Revert unpatrolled ""new editor removing sitelink"" edits after some time ",Matěj Suchánek,WikidataBotrequestsArchive201309.json
" Revert unpatrolled ""new editor removing sitelink"" edits after some time ",Ymblanter,WikidataBotrequestsArchive201309.json
" Revert unpatrolled ""new editor removing sitelink"" edits after some time ",Emaus,WikidataBotrequestsArchive201309.json
 <Country> in the Eurovision Song Contest <year> ,Carsrac,WikidataBotrequestsArchive201309.json
 Philippines Municipalities ,Exec8,WikidataBotrequestsArchive201309.json
" Adding ""category's main topic"" ([[Property:P301]]) to year and decade categories ",Bjung,WikidataBotrequestsArchive201309.json
 Create 120 items with one statement ,Tobias1984,WikidataBotrequestsArchive201310.json
 Create 120 items with one statement ,Bene*,WikidataBotrequestsArchive201310.json
 A real source ,Lavallen,WikidataBotrequestsArchive201310.json
 A real source ,Pasleim,WikidataBotrequestsArchive201310.json
 A real source ,Thgoiter,WikidataBotrequestsArchive201310.json
 Move links to [[Q12036090]] to [[Q94665]] ,Cycn,WikidataBotrequestsArchive201310.json
 Move links to [[Q12036090]] to [[Q94665]] ,Thgoiter,WikidataBotrequestsArchive201310.json
 Move links to [[Q14330962]] to [[Q33123]] ,Cycn,WikidataBotrequestsArchive201310.json
 Move links to [[Q14330962]] to [[Q33123]] ,분당선M,WikidataBotrequestsArchive201310.json
 Move links to [[Q1660508]] to [[Q1622272]] ,Infovarius,WikidataBotrequestsArchive201310.json
 Move links to [[Q1660508]] to [[Q1622272]] ,Pasleim,WikidataBotrequestsArchive201310.json
 Move links from [[Q3196771]] to [[Q207694]] ,Cycn,WikidataBotrequestsArchive201310.json
 Move links from [[Q3196771]] to [[Q207694]] ,Bene*,WikidataBotrequestsArchive201310.json
 Move links from [[Q3196771]] to [[Q207694]] ,Hazard-SJ,WikidataBotrequestsArchive201310.json
 Move links from [[Q3196771]] to [[Q207694]] ,Robot Monk,WikidataBotrequestsArchive201310.json
 Migrate P107 term & disambiguation claims ,GZWDer,WikidataBotrequestsArchive201310.json
 Migrate P107 term & disambiguation claims ,ValterVB,WikidataBotrequestsArchive201310.json
 Migrate P107 term & disambiguation claims ,Pasleim,WikidataBotrequestsArchive201310.json
Municipalities,ValterVB,WikidataBotrequestsArchive201310.json
Municipalities,Underlying lk,WikidataBotrequestsArchive201310.json
Towns,Underlying lk,WikidataBotrequestsArchive201310.json
Towns,ValterVB,WikidataBotrequestsArchive201310.json
 P625 and Swedish localities ,Lavallen,WikidataBotrequestsArchive201310.json
 P625 and Swedish localities ,Aude,WikidataBotrequestsArchive201310.json
 P625 and Swedish localities ,Ymblanter,WikidataBotrequestsArchive201310.json
 Description for portuguese Wikipedia category items ,MisterSanderson,WikidataBotrequestsArchive201310.json
 Description for portuguese Wikipedia category items ,ValterVB,WikidataBotrequestsArchive201310.json
 Description for portuguese Wikipedia category items ,Helder.wiki,WikidataBotrequestsArchive201310.json
 Link import ,Delusion23,WikidataBotrequestsArchive201310.json
 Link import ,GZWDer,WikidataBotrequestsArchive201310.json
 Link import ,Emaus,WikidataBotrequestsArchive201310.json
 Import cinema people from French WP ,Laddo,WikidataBotrequestsArchive201310.json
