page_name,thread_subject,discussion_id,group_size,users
WikidatatalkWikiProjectSourceMetaDataArchive2.json,Rename to Wikidata:WikiCite,WikidatatalkWikiProjectSourceMetaDataArchive2.json || Rename to Wikidata:WikiCite,10,Aubrey ; Bluerasberry ; BrillLyle ; Daniel Mietchen ; Dario (WMF) ; Fnielsen ; JakobVoss ; PKM ; Pigsonthewing ; Sj
WikidatatalkWikiProjectSourceMetaDataArchive3.json,"Questions about ""scholarly articles""","WikidatatalkWikiProjectSourceMetaDataArchive3.json || Questions about ""scholarly articles""",10,Alexmar983 ; Bluerasberry ; DarTar ; Fnielsen ; HLHJ ; JakobVoss ; PKM ; Pigsonthewing ; Pintoch ; Vladimir Alexiev
WikidatatalkWikiProjectpropertyconstraintsArchive1.json,Change of format for scope constraints,WikidatatalkWikiProjectpropertyconstraintsArchive1.json || Change of format for scope constraints,10,Deryck Chan ; Ivan A. Krestinin ; Jura1 ; Lea Lacroix (WMDE) ; Lucas Werkmeister (WMDE) ; MisterSynergy ; Multichill ; Pasleim ; Pintoch ; Was a bee
WikidatatalkWikiProjectAuthoritycontrolArchive2.json,Duplicate items indicated by VIAF,WikidatatalkWikiProjectAuthoritycontrolArchive2.json || Duplicate items indicated by VIAF,9,Emu ; Epìdosis ; GerardM ; Jneubert ; Kolja21 ; M2k~dewiki ; Marv1N ; Pyfisch ; Vladimir Alexiev
WikidatatalkWikiProjectBooks2017.json,Book in two volumes,WikidatatalkWikiProjectBooks2017.json || Book in two volumes,9,AlessioMela ; Hsarrazin ; Jane023 ; MartinPoulter ; Snipre ; Tpt ; VIGNERON ; Yann ; billinghurst
WikidatatalkWikiProjectBooks2017.json,How to properly manage Complete works editions for known authors ?,WikidatatalkWikiProjectBooks2017.json || How to properly manage Complete works editions for known authors ?,9,HHill ; Hsarrazin ; Jane023 ; Maxlath ; Snipre ; Tpt ; VIGNERON ; Zeroth ; billinghurst
WikidatatalkWikiProjectBooks2020.json,Physical book vs. a literary work published in book form,WikidatatalkWikiProjectBooks2020.json || Physical book vs. a literary work published in book form,9,Bodhisattwa ; EncycloPetey ; Freddy eduardo ; Ghouston ; JavierCantero ; Jheald ; Robert.Allen ; Snipre ; billinghurst
WikidatatalkWikiProjectBuiltheritage.json,Irksome issues with p31,WikidatatalkWikiProjectBuiltheritage.json || Irksome issues with p31,9,Ayack ; Fralambert ; Jane023 ; Multichill ; Nemo_bis ; Sjoerddebruin ; Yerpo ; Ymblanter ; Zolo
WikidatatalkWikiProjectIndiaArchive1.json,"""village in India""","WikidatatalkWikiProjectIndiaArchive1.json || ""village in India""",9,Aftabuzzaman ; Aliva Sahoo ; Gopala Krishna A ; KartikMistry ; Kritzolina ; Pavan santhosh.s ; Prtksxna ; Ranjithsiji ; Satdeep Gill
WikidatatalkWikiProjectInfoboxes.json,Taxa are not terms,WikidatatalkWikiProjectInfoboxes.json || Taxa are not terms,9,Brya ; EncycloPetey ; Fractaler ; Jdforrester ; Kolja21 ; Silver hr ; Superm401 ; TomT0m ; your fight or should I call it war? I've stopped most of my work at Wikidata because I'm not willing to play these games. --
